Date,Person_ID,Age,Gender,Total_Sleep_Hours,Sleep_Quality,Exercise_Mins_Day,Caffeine_Intake,Screen_Time_Before_Bed,Work_Hours,Productivity_Score,Mood_Score,Stress_Level
2024-04-12,1860,32,Other,528,3,86,87,116,8,8,3,6
2024-11-04,1769,41,Female,541,5,32,21,88,6,10,3,7
2024-08-31,2528,20,Male,535,7,17,88,59,8,10,9,10
2024-02-22,8041,37,Other,755,8,46,34,80,6,8,4,2
2024-02-23,4843,46,Other,675,10,61,269,94,1,8,7,9
2024-07-08,7439,38,Male,864,10,88,251,123,6,1,9,7
2024-01-09,6463,18,Other,803,3,34,288,122,4,7,10,9
2024-01-28,7278,26,Female,635,8,36,98,171,9,3,1,3
2024-04-10,9110,31,Other,731,7,26,206,14,4,3,7,1
2024-02-21,6116,49,Female,752,4,12,159,70,6,6,2,10
2024-02-14,3693,45,Female,612,7,88,230,128,5,9,4,9
2024-09-15,8526,23,Other,796,10,43,151,58,6,8,9,4
2024-04-22,2853,29,Female,806,5,55,80,112,1,6,7,5
2024-08-11,8392,18,Other,715,10,31,197,159,8,7,8,1
2024-09-11,5389,41,Male,767,1,72,123,69,9,3,4,4
2024-12-11,2986,36,Other,795,7,81,128,10,6,9,2,7
2024-10-24,1262,33,Female,708,1,1,253,139,8,7,9,9
2024-04-08,3255,20,Female,771,1,71,103,83,8,9,3,9
2024-12-14,3961,35,Female,776,9,32,67,32,7,4,8,8
2024-05-14,2218,34,Male,704,6,21,237,157,1,3,6,8
2024-10-09,1225,38,Female,784,1,68,146,3,4,1,1,5
2024-01-06,2060,41,Male,933,3,59,115,159,1,3,2,9
2024-08-10,7709,20,Female,758,6,22,126,154,6,10,1,8
2024-10-25,8343,56,Male,66,2,24,12,59,8,9,4,4
2024-11-16,7655,33,Female,619,2,65,287,85,6,10,6,10
2024-02-27,8509,59,Female,719,5,7,52,59,5,5,7,4
2024-09-18,1876,49,Female,769,4,15,268,113,8,3,1,8
2024-11-14,6177,43,Male,49,9,11,128,57,1,2,6,9
2024-08-24,4343,56,Other,815,3,75,153,143,5,6,9,5
2024-02-16,3141,22,Female,853,4,32,253,100,7,10,6,5
2024-04-09,3849,48,Female,702,1,68,3,15,4,7,2,1
2024-06-08,1851,41,Female,514,3,42,100,11,7,1,8,10
2024-02-12,8723,46,Male,639,3,34,214,80,9,10,10,10
2024-04-24,9808,24,Female,764,8,35,216,20,1,4,10,5
2024-07-10,3786,52,Female,74,7,61,223,36,5,7,7,9
2024-12-20,5968,47,Male,863,6,12,186,18,7,9,3,9
2024-10-10,1717,48,Other,492,5,11,24,179,9,4,5,7
2024-05-23,2062,59,Female,725,5,34,214,74,4,9,10,10
2024-09-09,2542,30,Female,896,2,4,28,164,5,8,1,6
2024-05-24,9702,24,Male,625,3,60,181,166,7,10,3,7
2024-05-05,5268,30,Female,82,8,60,0,130,8,9,1,9
2024-11-07,1928,55,Male,456,5,79,212,163,8,4,9,2
2024-02-16,2256,31,Other,764,6,2,143,11,1,8,6,8
2024-06-04,5468,25,Female,682,10,59,177,27,4,9,4,6
2024-05-24,6320,50,Male,792,3,5,81,114,9,9,2,10
2024-11-07,9989,22,Other,839,2,48,266,84,9,9,6,1
2024-04-07,8266,18,Male,882,1,68,132,101,1,7,5,5
2024-06-13,5809,27,Other,675,1,50,172,3,5,1,8,2
2024-12-13,8239,56,Female,688,3,49,267,53,1,9,1,7
2024-07-25,2252,38,Female,556,6,63,251,37,8,2,3,2
2024-11-03,5261,50,Other,761,3,80,132,28,5,8,1,10
2024-09-29,4579,37,Male,696,3,22,182,79,5,6,8,4
2024-12-25,9472,20,Other,937,10,50,276,4,6,10,6,5
2024-11-21,7376,29,Female,514,10,44,72,25,1,9,6,8
2024-12-15,3878,34,Female,492,3,51,206,46,6,6,10,7
2024-03-18,1364,43,Female,517,3,22,237,106,8,2,10,6
2024-08-14,2906,32,Male,541,7,56,272,85,6,9,1,4
2024-01-25,8561,20,Male,493,6,33,110,7,8,3,10,9
2024-04-10,3739,43,Female,699,6,32,149,20,5,7,4,8
2024-11-06,9434,48,Male,506,2,83,219,74,1,6,6,1
2024-04-03,3551,55,Other,809,8,25,172,43,5,10,6,4
2024-10-01,9915,50,Male,804,6,36,138,99,6,3,1,6
2024-06-26,1009,22,Other,551,8,1,83,64,5,9,1,9
2024-02-07,4490,47,Other,865,2,77,136,161,5,3,1,8
2024-11-15,6951,46,Other,551,3,84,164,4,5,10,4,9
2024-08-24,2065,42,Female,67,3,37,22,62,8,9,1,1
2024-11-04,4687,57,Other,666,3,6,178,41,5,1,4,7
2024-06-05,2120,54,Other,467,6,65,9,4,1,1,6,6
